[2026-06-20T00:57:14.582Z] GET https://pubmed.ncbi.nlm.nih.gov/42319824/ → pending (?ms, ?B)
[2026-06-20T01:25:58.373Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/197163673:1781917229:fXog3gn4ibYv3LB43Ym0cnI17zLqjBG2_01SFmEoIMc/a0e6f7c3b966dbff/ADKuP8q74QpVRHCBJMf3LwJel0PDzgYwkN3egWK.PWU-1781918602-1.2.1.1-wc2P.GmEQSqszDT7ntkz1uwkYAI9MsaDLBeCtvvaTU.rLFcrIlp_VW3TBbFfFG8i → 400 (205ms, 121B)
[2026-06-20T01:25:58.583Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/197163673:1781917229:fXog3gn4ibYv3LB43Ym0cnI17zLqjBG2_01SFmEoIMc/a0e6f7c3b966dbff/ADKuP8q74QpVRHCBJMf3LwJel0PDzgYwkN3egWK.PWU-1781918602-1.2.1.1-wc2P.GmEQSqszDT7ntkz1uwkYAI9MsaDLBeCtvvaTU.rLFcrIlp_VW3TBbFfFG8i/managed → 200 (187ms, 2B)
[2026-06-20T01:26:30.583Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (194ms, 6940B)
[2026-06-20T01:26:30.784Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6fc5b0f0fdbff → pending (?ms, ?B)
[2026-06-20T01:26:31.345Z] GET blob:https://cell.com/19bdfeca-2313-46ab-8aa6-6099762ff75c → pending (?ms, ?B)
[2026-06-20T01:26:31.363Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (?ms, 67081B)
[2026-06-20T01:26:31.502Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/197163673:1781917229:fXog3gn4ibYv3LB43Ym0cnI17zLqjBG2_01SFmEoIMc/a0e6fc5b0f0fdbff/B7AA4QSmHTi_mXLuW1.303WP2dJiXT4ia4y6.1bHqkc-1781918790-1.2.1.1-KTtt.Ak3CCyCr44TmTsSNXofpGeEIvsBiWQl0jjRBSE7Tl3cD66Xf4Q20qj2nLRX → 200 (206ms, 18608B)
[2026-06-20T01:26:31.716Z] GET blob:https://cell.com/7a46faba-fe20-4356-a3bd-4e6a1d20e5e3 → 200 (10ms, 291B)
[2026-06-20T01:26:31.722Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/9husp/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → pending (?ms, ?B)
[2026-06-20T01:26:31.920Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (579ms, 86B)
[2026-06-20T01:26:32.519Z] GET blob:https://challenges.cloudflare.com/5f3777b3-28d5-4aee-bb82-b4b846a58233 → pending (?ms, ?B)
[2026-06-20T01:26:32.693Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1414653002:1781917230:ku3iJOMIOktkiX37Rw3XKulWGipBAQ3OrNoGn-d2JmQ/a0e6fc621d3de0ce/S7cDSwBSG.lcMXxgngXAguk6D_52fnK0iwUmGzTU4JQ-1781918792-1.2.1.1-TlcVPBE1kBMTwTlCby1ntcsjPR2F._ACPx0pwcZ6JJ7M7vQ7jARUlYeIM6FFV53N → pending (?ms, ?B)
[2026-06-20T01:26:33.926Z] GET blob:https://challenges.cloudflare.com/cfbdeaa1-0d2b-441e-8476-9a231d63a446 → 200 (64ms, 291B)
[2026-06-20T01:26:34.209Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6fc621d3de0ce/1781918792984/vwSx6sr_vvT6yua → 200 (190ms, 280B)
[2026-06-20T01:26:34.591Z] GET blob:https://challenges.cloudflare.com/cfbdeaa1-0d2b-441e-8476-9a231d63a446 → 200 (7ms, 291B)
[2026-06-20T01:26:34.799Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6fc621d3de0ce/1781918792984/b469eca474db5a7648e9a6e6008fb906d36d7f4a765ae56a4e9b6546cadde950/csifPS0kgSRapQW → pending (?ms, ?B)
[2026-06-20T01:26:35.232Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1414653002:1781917230:ku3iJOMIOktkiX37Rw3XKulWGipBAQ3OrNoGn-d2JmQ/a0e6fc621d3de0ce/S7cDSwBSG.lcMXxgngXAguk6D_52fnK0iwUmGzTU4JQ-1781918792-1.2.1.1-TlcVPBE1kBMTwTlCby1ntcsjPR2F._ACPx0pwcZ6JJ7M7vQ7jARUlYeIM6FFV53N → pending (?ms, ?B)
[2026-06-20T01:26:35.866Z] GET blob:https://challenges.cloudflare.com/8f27800b-f17a-4e1e-843e-7b0366d63e61 → 200 (7ms, 291B)
